15,887,40,1037,126,car, 
16,1329,98,1381,175,car, 
17,1240,23,1380,109,car, 
18,270,707,542,795,car, 
19,1020,565,1103,639,motorcycle, 
20,1331,98,1381,174,car, 
21,0,547,178,691,car, 
22,0,552,165,690,car, 
0,746,510,980,671,car, 
1,359,495,654,687,car, 
2,1063,390,1293,533,car, 
3,850,349,1052,475,car, 
4,111,369,357,501,car, 
5,598,315,801,444,car, 
6,420,274,628,403,car, 
7,1228,207,1381,327,car, 
8,1029,164,1222,291,car, 
9,683,90,849,188,car, 
10,691,193,876,308,car, 
11,1063,76,1230,169,car, 
12,429,168,635,276,car, 
13,124,247,357,377,car, 
14,902,134,1052,232,car, 
15,887,40,1037,126,car, 
16,1334,98,1381,173,car, 
17,1240,23,1380,109,car, 
18,270,705,547,796,car, 
19,1023,561,1109,637,motorcycle, 
20,0,737,47,794,car, 
21,0,542,190,693,car, 
22,0,367,13,426,car, 
0,752,508,986,667,car, 
1,368,490,663,683,car, 
2,1068,387,1298,530,car, 
3,858,347,1060,472,car, 
4,113,368,360,500,car, 
5,608,312,811,439,car, 
6,419,274,627,403,car, 
7,1233,204,1381,325,car, 
8,1035,162,1227,290,car, 
9,684,90,850,188,car, 
10,691,193,876,309,car, 
11,1063,76,1229,169,car, 
12,429,167,634,276,car, 
13,123,246,357,376,car, 
14,902,133,1052,232,car, 
15,886,39,1036,125,car, 
16,1337,99,1381,170,car, 
17,1240,22,1380,108,car, 
18,269,701,555,796,car, 
19,1023,561,1109,637,motorcycle, 
20,0,730,61,796,car, 
21,0,537,202,697,car, 
22,0,362,14,427,car, 
0,758,505,992,664,car, 
1,379,486,671,679,car, 
2,1071,384,1301,527,car, 
3,865,343,1068,468,car, 
4,116,367,361,499,car, 
5,617,309,821,436,car, 
6,420,273,627,402,car, 
7,1237,201,1381,322,car, 
8,1040,159,1230,286,car, 
9,685,89,850,188,car, 
10,690,192,875,310,car, 
11,1063,75,1229,169,car, 
12,429,166,634,275,car, 
13,122,245,356,376,car, 
14,901,133,1051,231,car, 
15,886,39,1035,124,car, 
16,1339,98,1381,169,car, 
17,1240,22,1380,107,car, 
18,269,699,562,796,car, 
19,0,531,213,694,motorcycle, 
20,0,725,75,796,car, 
21,0,537,202,697,car, 
22,0,360,16,426,car, 
0,762,503,997,660,car, 
1,388,482,682,672,car, 
2,1074,383,1304,525,car, 
3,873,338,1075,463,car, 
4,117,365,363,499,car, 
5,626,306,828,431,car, 
6,418,272,626,402,car, 
7,1239,200,1381,318,car, 
8,1043,157,1236,284,car, 
9,685,88,851,187,car, 
10,689,191,875,309,car, 
11,1063,75,1229,168,car, 
12,429,166,633,275,car, 
13,120,245,355,375,car, 
14,902,132,1051,231,car, 
15,886,38,1034,123,car, 
16,1341,98,1381,167,car, 
17,1240,20,1380,107,car, 
18,272,695,567,794,car, 
19,0,531,213,694,motorcycle, 
20,0,718,90,796,car, 
21,0,526,225,688,car, 
22,0,355,16,429,car, 
0,768,499,1002,656,car, 
1,399,478,688,667,car, 
2,1078,381,1307,523,car, 
3,883,335,1082,459,car, 
4,119,365,364,498,car, 
5,635,302,836,428,car, 
6,417,272,625,402,car, 
7,1242,199,1381,317,car, 
8,1049,156,1240,282,car, 
9,684,88,851,186,car, 
10,689,191,874,304,car, 
11,1063,75,1228,168,car, 
12,429,165,633,275,car, 
13,119,245,354,374,car, 
14,901,132,1051,231,car, 
15,886,38,1034,123,car, 
16,1342,99,1381,166,car, 
17,1239,20,1380,107,car, 
18,272,693,572,795,car, 
19,0,523,238,682,motorcycle, 
20,0,712,104,795,car, 
21,0,526,225,688,car, 
22,0,353,18,427,car, 
0,773,497,1007,653,car, 
1,408,473,697,663,car, 
2,1083,379,1310,521,car, 
3,890,332,1089,455,car, 
4,121,364,365,495,car, 
5,645,298,844,423,car, 
6,417,271,625,401,car, 
7,1246,198,1381,315,car, 
8,1052,154,1245,280,car, 
9,685,87,851,185,car, 
10,689,190,875,300,car, 
11,1062,74,1228,169,car, 
12,429,164,633,275,car, 
13,118,244,354,374,car, 
14,900,132,1050,229,car, 
15,885,37,1033,122,car, 
16,1343,98,1381,162,car, 
17,1240,18,1380,106,car, 
18,273,689,577,796,car, 
19,238,6,422,75,motorcycle, 
20,0,705,119,796,car, 
21,0,515,250,677,car, 
22,0,352,19,427,car, 
0,779,493,1012,649,car, 
1,417,470,704,657,car, 
2,1086,376,1312,516,car, 
3,897,329,1096,453,car, 
4,122,363,366,494,car, 
5,652,295,853,420,car, 
6,416,271,624,401,car, 
7,1248,197,1381,313,car, 
8,1059,152,1248,278,car, 
9,685,87,851,184,car, 
10,690,190,873,297,car, 
11,1061,73,1227,169,car, 
12,429,164,633,275,car, 
13,117,244,352,373,car, 
14,900,131,1049,228,car, 
15,885,36,1033,122,car, 
16,1343,96,1381,161,car, 
17,1240,18,1380,105,car, 
18,278,685,585,798,car, 
19,1055,541,1140,619,motorcycle, 
20,0,698,132,796,car, 
21,0,512,260,672,car, 
22,0,351,21,426,car, 
23,170,11,362,97,car, 
0,785,490,1018,647,car, 
1,428,466,714,653,car, 
2,1091,374,1316,513,car, 
3,902,326,1103,448,car, 
4,123,361,366,493,car, 
5,661,290,861,416,car, 
6,417,269,624,400,car, 
7,1252,196,1381,310,car, 
8,1061,150,1252,275,car, 
9,685,86,851,183,car, 
10,690,190,874,296,car, 
11,1061,73,1227,168,car, 
12,429,163,633,274,car, 
13,117,244,352,372,car, 
14,900,130,1049,228,car, 
15,884,36,1033,121,car, 
16,1345,96,1381,159,car, 
17,1239,17,1380,105,car, 
18,286,681,593,798,car, 
19,1055,541,1140,619,motorcycle, 
20,0,693,145,799,car, 
21,0,508,273,665,car, 
22,0,349,22,425,car, 
23,99,12,295,113,car, 
0,791,488,1023,643,car, 
1,436,462,722,648,car, 
2,1094,372,1319,511,car, 
3,910,323,1109,444,car, 
4,123,361,367,492,car, 
5,669,288,867,411,car, 
6,417,269,624,400,car, 
7,1255,194,1381,308,car, 
8,1066,147,1256,273,car, 
9,684,86,851,183,car, 
10,689,190,873,298,car, 
11,1061,73,1227,167,car, 
12,430,162,634,273,car, 
13,117,244,352,371,car, 
14,901,130,1048,228,car, 
15,884,35,1033,121,car, 
16,1345,95,1381,158,car, 
17,1239,17,1380,104,car, 
18,292,678,600,798,car, 
19,8,501,285,660,motorcycle, 
20,0,688,160,800,car, 
21,0,508,273,665,car, 
22,0,348,23,425,car, 
23,99,12,295,113,car, 
0,796,484,1030,641,car, 
1,448,458,729,644,car, 
2,1097,370,1323,509,car, 
3,917,320,1116,440,car, 
4,125,360,368,491,car, 
5,678,284,876,408,car, 
6,417,269,624,400,car, 
7,1258,193,1381,307,car, 
